QID;Type;QID Text;Randomized;Warning;Filtered;Needs adaptation;VID;Type;VID Text;EU;B;C;ES;IT;L;N;P;SL;SW;Responses;Responses EU;Responses B;Responses C;Responses ES;Responses IT;Responses L;Responses N;Responses P;Responses SL;Responses SW
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_16;Core;European integration and cooperation;;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_17;Core;Scientific research policy;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_18;Core;Regional or cohesion policy;Included;Included;;;Included;Included;;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_19;Core;Human Rights;Included;Included;;;Included;Included;;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_20;Core;Transport policy;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_21;Core;Cultural policy;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_22;Core;Employment;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID16;Core;Which areas is your organization involved in;0;1;0;y;q16_23;Core;Other;;;;;;;;Included;;;"0: No; 1: Yes";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_01;Core;Migration policy;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_02;Core;Economic and monetary policy;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_03;Core;Health policy;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_04;Core;Fight against crime;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_05;Core;Energy policy;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_06;Core;Education;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_07;Core;Gender policy;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_08;Core;Social policy;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_09;Core;Environmental policy;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_10;Core;Consumer protection;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_11;Core;Agriculture policy;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_12;Core;Fundamental rights of EU citizens;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_13;Core;International development policy;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_14;Core;Foreign policy;;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_15;Core;Defense policy;;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_16;Core;European integration and cooperation;;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_17;Core;Scientific research policy;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_18;Core;Regional or cohesion policy;Included;Included;;;Included;Included;;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_19;Core;Human Rights;Included;Included;;;Included;Included;;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_20;Core;Transport policy;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_21;Core;Cultural policy;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_22;Core;Employment;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID17;Core;How involved is your organization in these areas;0;1;1;n;q17_23;Core;Other;;;;;;;;Included;;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID18;Core;Some organizations like yours use research to inform their positions on public policy. Does your organization normally rely on in-house research or does it pay for research conducted by external organizations such as think tanks, universities or consultants?;0;1;0;n;q18;Core;Does your organization normally rely on in-house research or does it pay for research conducted by external organizations such as think tanks, universities or consultant;Included;Included;;;Included;Included;Included;Included;Included;;"1: Mainly in-house; 2: Mainly in-house and some external; 3: Roughly equal; 4: Mainly external and some in-house; 5: Mainly external; 6: Not applicable";;;;;;;"1: Mainly in-house; 2: Mainly in-house and some external; 3: Roughly equal; 4: Mainly external and some in-house; 5: Mainly external; 6: Not applicable; 7: Research is conducted by members";;;
QID19;Core;Looking at the list below: Which activities is your organization involved in? Please tick all boxes that apply.;0;1;0;n;q19_01;Core;Advocacy/lobbying;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID19;Core;Looking at the list below: Which activities is your organization involved in? Please tick all boxes that apply.;0;1;0;n;q19_02;Core;Representation;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID19;Core;Looking at the list below: Which activities is your organization involved in? Please tick all boxes that apply.;0;1;0;n;q19_03;Core;Mobilizing members;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID19;Core;Looking at the list below: Which activities is your organization involved in? Please tick all boxes that apply.;0;1;0;n;q19_04;Core;Media campaigns;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID19;Core;Looking at the list below: Which activities is your organization involved in? Please tick all boxes that apply.;0;1;0;n;q19_05;Core;Research;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID19;Core;Looking at the list below: Which activities is your organization involved in? Please tick all boxes that apply.;0;1;0;n;q19_06;Core;Support or advice to members;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID19;Core;Looking at the list below: Which activities is your organization involved in? Please tick all boxes that apply.;0;1;0;n;q19_07;Core;Support or advice to clients or beneficiaries;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID19;Core;Looking at the list below: Which activities is your organization involved in? Please tick all boxes that apply.;0;1;0;n;q19_08;Core;Fundraising;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID19;Core;Looking at the list below: Which activities is your organization involved in? Please tick all boxes that apply.;0;1;0;n;q19_09;Core;Promoting volunteering;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID19;Core;Looking at the list below: Which activities is your organization involved in? Please tick all boxes that apply.;0;1;0;n;q19_10;Core;Recruiting members/supporters/donors;Included;Included;;;Included;Included;Included;;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID19;Core;Looking at the list below: Which activities is your organization involved in? Please tick all boxes that apply.;0;1;0;n;q19_11;Core;Monitoring the election campaigns of political parties;;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;;;;;
QID20;Core;How involved is your organization in these activities;0;1;1;y;q20_01;Core;Advocacy/lobbying;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID20;Core;How involved is your organization in these activities;0;1;1;y;q20_02;Core;Representation;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID20;Core;How involved is your organization in these activities;0;1;1;y;q20_03;Core;Mobilizing members;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID20;Core;How involved is your organization in these activities;0;1;1;y;q20_04;Core;Media campaigns;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID20;Core;How involved is your organization in these activities;0;1;1;y;q20_05;Core;Research;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID20;Core;How involved is your organization in these activities;0;1;1;y;q20_06;Core;Support or advice to members;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID20;Core;How involved is your organization in these activities;0;1;1;y;q20_07;Core;Support or advice to clients or beneficiaries;Included;Included;;;Included;Included;Included;Included;Included;;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID20;Core;How involved is your organization in these activities;0;1;1;y;q20_08;Core;Fundraising;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID20;Core;How involved is your organization in these activities;0;1;1;y;q20_09;Core;Promoting volunteering;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID20;Core;How involved is your organization in these activities;0;1;1;y;q20_10;Core;Recruiting members/supporters/donors;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID20;Core;How involved is your organization in these activities;0;1;1;y;q20_11;Core;Monitoring the election campaigns of political parties;;Included;;;Included;Included;Included;Included;Included;Included;"1: Somewhat involved in; 2: Very involved in";;;;;;;;;;
QID21;Core;How many paid staff (full time equivalent), externally paid professionals, interns/trainees or unpaid volunteers work in your organization?;0;0;0;n;q21_01;Core;Paid staff (full time equivalent);Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID21;Core;How many paid staff (full time equivalent), externally paid professionals, interns/trainees or unpaid volunteers work in your organization?;0;0;0;n;q21_02;Core;External professionals;Included;Included;;;Included;Included;Included;Included;Included;;Numeric;;;;;;;;;;
QID21;Core;How many paid staff (full time equivalent), externally paid professionals, interns/trainees or unpaid volunteers work in your organization?;0;0;0;n;q21_03;Core;Interns/ trainees;Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID21;Core;How many paid staff (full time equivalent), externally paid professionals, interns/trainees or unpaid volunteers work in your organization?;0;0;0;n;q21_04;Core;Volunteers;Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID22;Core;What are the typical backgrounds of your paid staff members;1;1;1;n;q22_01;Core;This is their first job;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID22;Core;What are the typical backgrounds of your paid staff members;1;1;1;n;q22_02;Core;Worked for a voluntary organization/charity;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID22;Core;What are the typical backgrounds of your paid staff members;1;1;1;n;q22_03;Core;Worked for a business organization;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID22;Core;What are the typical backgrounds of your paid staff members;1;1;1;n;q22_04;Core;Worked in the private sector;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID22;Core;What are the typical backgrounds of your paid staff members;1;1;1;n;q22_05;Core;Worked for a government agency;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID22;Core;What are the typical backgrounds of your paid staff members;1;1;1;n;q22_06;Core;Worked for a political party;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID22;Core;What are the typical backgrounds of your paid staff members;1;1;1;n;q22_07;Core;Worked for a research institute, think thank or higher education institution ;;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID22;Core;What are the typical backgrounds of your paid staff members;1;1;1;n;q22_08;Core;Worked for an international and or European institution;;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID22;Core;What are the typical backgrounds of your paid staff members;1;1;1;n;q22_09;Core;Worked abroad;;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID22;Core;What are the typical backgrounds of your paid staff members;1;1;1;n;q22_10;Core;Don't know;Included;Included;;;;;Included;;;Included;"0: No; 1: Yes";;;;;;;;;;
QID23;Core;"In general, when organizations like yours recruit new staff, they often seek to ensure that the following criteria are met: (a) ""an understanding of and a commitment to organizational objectives"" and (b) “professional qualification and expertise”. If a candidate does not meet these criteria equally well, which of them do you prioritize?";0;0;1;n;q23;Core;If a candidate does not meet these criteria equally well, which of them do you prioritize?;Included;Included;;;Included;Included;Included;Included;Included;;"1: An understanding of and a commitment to organizational objectives; 2: Professional qualification and expertise; 3: Don't know";;;;;"1: An understanding of and a commitment to organizational objectives; 2: Professional qualification and expertise";;;;;
QID24;Core;Does your organization engage in any of the following staff development activities;0;0;1;n;q24_01;Core;In-house staff training;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID24;Core;Does your organization engage in any of the following staff development activities;0;0;1;n;q24_02;Core;Send staff to external organizations for training and professional development;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID24;Core;Does your organization engage in any of the following staff development activities;0;0;1;n;q24_03;Core;Second staff to other organizations to develop their skills (e.g. government agencies, firms, NGOs, etc.);Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID24;Core;Does your organization engage in any of the following staff development activities;0;0;1;n;q24_04;Core;Not applicable;;Included;;;Included;Included;Included;Included;;;"0: No; 1: Yes";;;;;;;;;;
QID25;Core;In general, do staff tend to advance their careers through your organization or leave it for positions in other organizations;0;0;1;n;q25;Core;In general, do staff tend to advance their careers through your organization or leave it for positions in other organizations?;Included;Included;;;Included;Included;Included;Included;Included;Included;"1: Staff tend to progress through our organization; 2: Staff tend to leave our organization; 3: Not applicable";;;;;;;;;;
QID26;Core;If staff leave your organization for positions in other organizations, where do they typically continue their professional career?;1;0;1;n;q26_01;Core;An NGO or civil society organization;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID26;Core;If staff leave your organization for positions in other organizations, where do they typically continue their professional career?;1;0;1;n;q26_02;Core;A business association;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID26;Core;If staff leave your organization for positions in other organizations, where do they typically continue their professional career?;1;0;1;n;q26_03;Core;A company or firm;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID26;Core;If staff leave your organization for positions in other organizations, where do they typically continue their professional career?;1;0;1;n;q26_04;Core;National administrations;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID26;Core;If staff leave your organization for positions in other organizations, where do they typically continue their professional career?;1;0;1;n;q26_05;Core;A political party;Included;Included;;;Included;Included;Included;Included;Included;Included;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID26;Core;If staff leave your organization for positions in other organizations, where do they typically continue their professional career?;1;0;1;n;q26_06;Core;Research institute, think thank or higher education institution;;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID26;Core;If staff leave your organization for positions in other organizations, where do they typically continue their professional career?;1;0;1;n;q26_07;Core;International and or European institution;;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID26;Core;If staff leave your organization for positions in other organizations, where do they typically continue their professional career?;1;0;1;n;q26_08;Core;Position abroad;;;;;Included;Included;;Included;Included;;"0: No; 1: Yes";;;;;;"0: No; 1: Yes; 2: Don't know";;;;
QID26;Core;If staff leave your organization for positions in other organizations, where do they typically continue their professional career?;1;0;1;n;q26_09;Core;Don’t know;;;;;;;;;;;"0: No; 1: Yes";;;;;;;;;;
QID27;Core;Does your organization measure and evaluate the effectiveness and efficiency of its activities and processes;0;0;0;n;q27;Core;Does your organization measure and evaluate the effectiveness and efficiency of its activities and processes?;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";"1: Yes; 2: No";;;;;;;;;
QID28;Core;What indicators does your organization use to measure and evaluate the effectiveness and efficiency of its activities and processes?;1;0;1;n;q28_01;Core;The number of supporters;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID28;Core;What indicators does your organization use to measure and evaluate the effectiveness and efficiency of its activities and processes?;1;0;1;n;q28_02;Core;The number of supporters who renew their membership each year;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID28;Core;What indicators does your organization use to measure and evaluate the effectiveness and efficiency of its activities and processes?;1;0;1;n;q28_03;Core;The number of new supporters recruited each year;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID28;Core;What indicators does your organization use to measure and evaluate the effectiveness and efficiency of its activities and processes?;1;0;1;n;q28_04;Core;The financial resources of the organization;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID28;Core;What indicators does your organization use to measure and evaluate the effectiveness and efficiency of its activities and processes?;1;0;1;n;q28_05;Core;Attracting public funds;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID28;Core;What indicators does your organization use to measure and evaluate the effectiveness and efficiency of its activities and processes?;1;0;1;n;q28_06;Core;The amount of donations;;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID28;Core;What indicators does your organization use to measure and evaluate the effectiveness and efficiency of its activities and processes?;1;0;1;n;q28_07;Core;The quality of the staff (e.g. attracting professionally qualified staff to carry out specific organizational functions, etc.);Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID28;Core;What indicators does your organization use to measure and evaluate the effectiveness and efficiency of its activities and processes?;1;0;1;n;q28_08;Core;The public visibility of the organization (e.g. media frequency);Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID28;Core;What indicators does your organization use to measure and evaluate the effectiveness and efficiency of its activities and processes?;1;0;1;n;q28_09;Core;Access to key policymakers;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID28;Core;What indicators does your organization use to measure and evaluate the effectiveness and efficiency of its activities and processes?;1;0;1;n;q28_10;Core;Impact on policy outcomes;Included;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID28;Core;What indicators does your organization use to measure and evaluate the effectiveness and efficiency of its activities and processes?;1;0;1;n;q28_11;Core;Satisfaction of the members;;Included;;;Included;Included;Included;Included;Included;;"0: No; 1: Yes";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_01;Core;The Euro currency crisis;Included;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_02;Core;Rising Euro scepticism;Included;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_03;Core;The complexity of the decision-making procedures in the EU;Included;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_04;Core;The distance between individual citizens and policymakers;;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_05;Core;The economic environment since the 2008 financial crisis;Included;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_06;Core;Threats to our healtcare system;;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_07;Core;Climate change;;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_08;Core;The asylum crisis;;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_09;Core;Quality of education;;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_10;Core;Access of EU citizens to the [country] labor market;;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_11;Core;Privacy policy;;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_12;Core;The competitiveness of [country] companies;;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_13;Core;Inequality in [country];;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_14;Core;Inequality in the world;;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_15;Core;Moral-ethical issues such as abortion, gay marriage, euthanasia…;;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID29;Core;How important are the following political challenges for your organization?;1;1;0;y;q29_16;Core;International tensions;;Included;;;Included;Included;Included;Included;Included;;"1: Not at all important; 2: Not very important; 3: Neither important nor unimportant; 4: Important; 5: Very important";;;;;;;;;;
QID30;Core;Thinking generally about all the advocacy/lobbying work your organization undertakes, approximately what percentage of your organization’s time is spent at the regional, national, European or international level;0;0;0;Y;q30_01;Core;Local;;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID30;Core;Thinking generally about all the advocacy/lobbying work your organization undertakes, approximately what percentage of your organization’s time is spent at the regional, national, European or international level;0;0;0;Y;q30_02;Core;Sub-national;Included;Included;;;Included;Included;;Included;;Included;Numeric;;;;;;;;;;
QID30;Core;Thinking generally about all the advocacy/lobbying work your organization undertakes, approximately what percentage of your organization’s time is spent at the regional, national, European or international level;0;0;0;Y;q30_03;Core;National;Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID30;Core;Thinking generally about all the advocacy/lobbying work your organization undertakes, approximately what percentage of your organization’s time is spent at the regional, national, European or international level;0;0;0;Y;q30_04;Core;European;Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID30;Core;Thinking generally about all the advocacy/lobbying work your organization undertakes, approximately what percentage of your organization’s time is spent at the regional, national, European or international level;0;0;0;Y;q30_05;Core;International;Included;Included;;;Included;Included;Included;Included;Included;Included;Numeric;;;;;;;;;;
QID31;Core;During the last 12 months, how often has your group actively sought access to the following EU-level institutions and agencies in order to influence public policies?;1;1;0;y;q31_01;Core;Commissioners or their cabinets;Included;Included;;;Included;Included;Included;Included;Included;;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID31;Core;During the last 12 months, how often has your group actively sought access to the following EU-level institutions and agencies in order to influence public policies?;1;1;0;y;q31_02;Core;Officials in the DGs of the Commissions;Included;Included;;;Included;Included;Included;Included;Included;;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID31;Core;During the last 12 months, how often has your group actively sought access to the following EU-level institutions and agencies in order to influence public policies?;1;1;0;y;q31_03;Core;Member-state delegations/Permanent representations in Brussels;Included;Included;;;Included;Included;Included;Included;Included;;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
QID31;Core;During the last 12 months, how often has your group actively sought access to the following EU-level institutions and agencies in order to influence public policies?;1;1;0;y;q31_04;Core;The Council Secretariat;Included;Included;;;Included;Included;Included;Included;Included;;"1: We did not seek access; 2: At least once; 3: At least once every three months; 4: At least once a month; 5: At least once a week";;;;;;;;;;
